Ship_critical		{Critical hit}
Ship_sunk		{%1 "%2" was sunk. +%3 exp.}
Ship_sunk_other		{%1 "%2" was sunk.}
Ship_got_good		{You've got %1 cwt of %2}
Ship_cant_got_good	{Can't load %1 - hold is full!}

Fort_destroy		{Fort %1 was destroyed. +%2 exp.}
Fort_cannon		{Fort cannon exploded! +%1 exp.}

seg_Balls		{Cannonballs}
seg_Grapes		{Grapes}
seg_Knippels	{Knippels}
seg_Bombs		{Bombs}
seg_Sailcloth	{Sailcloth}
seg_Planks		{Planks}
seg_Slaves		{Slaves}
seg_Wheat		{Wheat}
seg_Ebony		{Ebony}
seg_Chocolate	{Chocolate}
seg_Sugar		{Sugar}
seg_Wine		{Wine}
seg_Linen		{Linen}
seg_Rum			{Rum}
seg_Tobacco		{Tobacco}
seg_Coffee		{Coffee}
seg_Mahogany	{Mahogany}
seg_Cinnamon	{Cinnamon}
seg_Copra		{Copra}
seg_Paprika		{Paprika}
seg_Fruits		{Fruits}
seg_Ale			{Ale}
seg_Silk		{Silk}
seg_Clothes		{Clothes}
seg_Cotton		{Cotton}
seg_Sandal		{Sandal}
seg_Leather		{Leather}
seg_Oil			{Oil}

sea_exp_add		{+%1 exp.}
